cluster,volume_cluster,aantal_keywords,intent,template,nieuwe_url,huidige_positie,huidige_url,bestaande_handle,content_chars,prioriteit,serp_features
japandi dressoir kast,100,1,,gids,/japandi-dressoir-kast/,,,,0,P3,
japandi huis,100,1,,gids,/japandi-huis/,,,,0,P3,
japandi prullenbak,100,1,,gids,/japandi-prullenbak/,,,,0,P3,
japandi vazen,100,1,,gids,/japandi-vazen/,,,vazen,5219,P3,
japandi vloerkleed action,100,1,,gids,/japandi-vloerkleed-action/,,,,0,P3,
japandi colors,100,1,"Informational,Non-branded,Non-local",gids,/japandi-colors/,,,,0,P3,"Image pack,People also ask"
japandi raambekleding,100,1,,gids,/japandi-raambekleding/,,,,0,P3,
japandi zwevend tv meubel,100,1,,gids,/japandi-zwevend-tv-meubel/,,,zwevend-tv-meubel,1388,P3,
japandi eettafel beige,100,1,,gids,/japandi-eettafel-beige/,,,,0,P3,
japandi hanglamp beige,100,1,,gids,/japandi-hanglamp-beige/,,,,0,P3,
japandi inspiratie,100,1,,gids,/japandi-inspiratie/,,,,0,P3,
japandi fruitschaal,100,1,,gids,/japandi-fruitschaal/,,,,0,P3,
japandi wasmand,100,1,,gids,/japandi-wasmand/,,,,0,P3,
dressoir japandi stijl,100,1,,gids,/japandi-dressoir-stijl/,,,,0,P3,
japandi stijl accessoires,100,1,,gids,/japandi-stijl-accessoires/,,,,0,P3,
japandi stijl meubels,100,1,,gids,/japandi-stijl-meubels/,,,,0,P3,
staande lamp japandi stijl,100,1,,gids,/japandi-staande-lamp-stijl/,,,,0,P3,
vloerlamp japandi stijl,100,1,,gids,/japandi-vloerlamp-stijl/,,,,0,P3,
japandi stijl tuin,100,1,,gids,/japandi-stijl-tuin/,,,,0,P3,
nachtkastje japandi stijl,100,1,,gids,/japandi-nachtkastje-stijl/,,,,0,P3,
